Transect,TranID,TranID_seg,tran_seg,start_gps_time,end_gps_time,start_gps_daysec,end_gps_daysec,duration_sec
Exp1,Exp1_P1,Exp1_P1_1,1,12:44:10,13:15:40,45850,47740,1890
Exp2,Exp2_P1,Exp2_P1_1,1,13:25:48,13:55:18,48348,50118,1770
Exp3,Exp3_P1,Exp3_P1_1,1,14:31:37,15:01:07,52297,54067,1770
Exp4,Exp4_P1,Exp4_P1_1,1,15:11:29,15:41:59,54689,56519,1830
Exp5,Exp5_P1,Exp5_P1_1,1,15:46:06,16:17:06,56766,58626,1860
H010,H010_P1,H010_P1_1,1,13:29:45,13:59:15,48585,50355,1770
H011,H011_P1,H011_P1_1,1,14:45:43,15:09:43,53143,54583,1440
H011,H011_P1,H011_P1_2,2,15:10:46,15:16:43,54646,55003,357
H015,H015_P1,H015_P1_1,1,12:46:21,12:50:46,45981,46246,265
H015,H015_P2,H015_P2_1,1,12:51:52,13:16:52,46312,47812,1500
H016,H016_P1,H016_P1_1,1,12:10:03,12:39:33,43803,45573,1770
H017,H017_P1,H017_P1_1,1,10:35:51,11:05:21,38151,39921,1770
H018,H018_P1,H018_P1_1,1,09:40:42,10:09:42,34842,36582,1740
H022,H022_P1,H022_P1_1,1,13:49:57,13:52:28,49797,49948,151
H022,H022_P1,H022_P1_2,2,13:53:27,13:55:27,50007,50127,120
H022,H022_P1,H022_P1_3,3,14:02:27,14:22:27,50547,51747,1200
H022,H022_P1,H022_P1_4,4,14:24:57,14:27:57,51897,52077,180
H025,H025_P1,H025_P1_1,1,14:31:50,14:35:50,52310,52550,240
H025,H025_P1,H025_P1_2,2,14:36:20,14:39:20,52580,52760,180
H025,H025_P1,H025_P1_3,3,14:39:50,14:40:50,52790,52850,60
H025,H025_P1,H025_P1_4,4,14:43:50,14:45:20,53030,53120,90
H025,H025_P1,H025_P1_5,5,14:45:50,14:48:50,53150,53330,180
H025,H025_P1,H025_P1_6,6,14:49:20,14:52:50,53360,53570,210
H025,H025_P1,H025_P1_7,7,14:53:20,15:03:20,53600,54200,600
H028,H028_P1,H028_P1_1,1,16:30:39,16:44:09,59439,60249,810
H028,H028_P1,H028_P1_2,2,16:44:39,16:50:39,60279,60639,360
H028,H028_P1,H028_P1_3,3,16:51:09,17:01:09,60669,61269,600
H029,H029_P1,H029_P1_1,1,10:30:24,10:34:23,37824,38063,239
H029,H029_P1,H029_P1_2,2,10:34:53,10:37:53,38093,38273,180
H029,H029_P1,H029_P1_3,3,10:38:53,11:00:23,38333,39623,1290
H030,H030_P1,H030_P1_1,1,15:01:45,15:21:45,54105,55305,1200
H030,H030_P1,H030_P1_2,2,15:22:15,15:26:15,55335,55575,240
H030,H030_P1,H030_P1_3,3,15:28:44,15:32:45,55724,55965,241
H032,H032_P1,H032_P1_1,1,13:31:31,13:56:01,48691,50161,1470
H032,H032_P1,H032_P1_2,2,13:57:06,14:03:01,50226,50581,355
H034,H034_P1,H034_P1_1,1,12:30:24,12:31:24,45024,45084,60
H034,H034_P1,H034_P1_2,2,12:32:24,12:59:54,45144,46794,1650
H035,H035_P1,H035_P1_1,1,15:36:33,15:46:03,56193,56763,570
H035,H035_P1,H035_P1_2,2,15:46:33,15:57:04,56793,57424,631
H035,H035_P1,H035_P1_3,3,15:57:36,16:01:12,57456,57672,216
H035,H035_P1,H035_P1_4,4,16:01:33,16:06:33,57693,57993,300
H039,H039_P1,H039_P1_1,1,08:49:00,09:10:00,31740,33000,1260
H039,H039_P1,H039_P1_2,2,09:10:35,09:11:59,33035,33119,84
H039,H039_P1,H039_P1_3,3,09:15:00,09:21:00,33300,33660,360
H043,H043_P1,H043_P1_1,1,07:50:16,07:59:16,28216,28756,540
H043,H043_P1,H043_P1_2,2,07:59:46,08:12:46,28786,29566,780
H044,H044_P1,H044_P1_1,1,08:54:24,09:07:54,32064,32874,810
H045,H045_P1,H045_P1_1,1,16:33:39,16:39:09,59619,59949,330
H045,H045_P1,H045_P1_2,2,16:39:39,16:40:37,59979,60037,58
H045,H045_P1,H045_P1_3,3,16:41:09,16:45:39,60069,60339,270
H045,H045_P1,H045_P1_4,4,16:46:09,16:50:09,60369,60609,240
H045,H045_P1,H045_P1_5,5,16:50:39,16:51:09,60639,60669,30
H045,H045_P1,H045_P1_6,6,16:51:39,16:59:09,60699,61149,450
H045,H045_P1,H045_P1_7,7,16:59:39,17:05:39,61179,61539,360
H046,H046_P1,H046_P1_1,1,15:11:35,15:19:35,54695,55175,480
H046,H046_P1,H046_P1_2,2,15:20:08,15:20:39,55208,55239,31
H046,H046_P1,H046_P1_3,3,15:21:05,15:21:35,55265,55295,30
H046,H046_P1,H046_P1_4,4,15:23:09,15:24:35,55389,55475,86
H046,H046_P1,H046_P1_5,5,15:25:05,15:27:35,55505,55655,150
H046,H046_P1,H046_P1_6,6,15:29:05,15:32:35,55745,55955,210
H046,H046_P1,H046_P1_7,7,15:34:35,15:35:35,56075,56135,60
H046,H046_P1,H046_P1_8,8,15:36:35,15:47:05,56195,56825,630
H052,H052_P1,H052_P1_1,1,11:11:33,11:16:03,40293,40563,270
H052,H052_P1,H052_P1_2,2,11:18:03,11:20:33,40683,40833,150
H052,H052_P1,H052_P1_3,3,11:22:03,11:28:33,40923,41313,390
H052,H052_P1,H052_P1_4,4,11:29:03,11:34:33,41343,41673,330
H052,H052_P1,H052_P1_5,5,11:35:31,11:41:03,41731,42063,332
H055,H055_P1,H055_P1_1,1,16:45:52,17:06:22,60352,61582,1230
H055,H055_P1,H055_P1_2,2,17:08:22,17:09:52,61702,61792,90
H056,H056_P1,H056_P1_1,1,14:35:05,14:48:35,52505,53315,810
H056,H056_P1,H056_P1_2,2,14:49:05,14:51:35,53345,53495,150
H056,H056_P1,H056_P1_3,3,14:52:06,14:54:35,53526,53675,149
H057,H057_P1,H057_P1_1,1,15:39:44,16:08:44,56384,58124,1740
H058,H058_P1,H058_P1_1,1,09:02:34,09:15:34,32554,33334,780
H058,H058_P1,H058_P1_2,2,09:16:04,09:32:34,33364,34354,990
H059,H059_P1,H059_P1_1,1,08:28:55,08:58:25,30535,32305,1770
H060,H060_P1,H060_P1_1,1,08:25:32,08:47:02,30332,31622,1290
H060,H060_P1,H060_P1_2,2,08:47:32,08:53:02,31652,31982,330
H060,H060_P1,H060_P1_3,3,08:53:32,08:54:32,32012,32072,60
H062,H062_P1,H062_P1_1,1,13:49:46,13:56:46,49786,50206,420
H062,H062_P1,H062_P1_2,2,13:57:16,14:04:46,50236,50686,450
H062,H062_P1,H062_P1_3,3,14:05:16,14:05:46,50716,50746,30
H062,H062_P1,H062_P1_4,4,14:06:46,14:10:16,50806,51016,210
H062,H062_P1,H062_P1_5,5,14:12:16,14:20:16,51136,51616,480
H063,H063_P1,H063_P1_1,1,17:37:03,17:45:03,63423,63903,480
H063,H063_P2,H063_P2_1,1,17:53:24,18:06:54,64404,65214,810
H063,H063_P2,H063_P2_2,2,18:07:24,18:14:54,65244,65694,450
H066,H066_P1,H066_P1_1,1,16:28:52,16:33:22,59332,59602,270
H066,H066_P1,H066_P1_2,2,16:33:52,16:48:22,59632,60502,870
H066,H066_P1,H066_P1_3,3,16:49:22,16:55:52,60562,60952,390
H066,H066_P1,H066_P1_4,4,16:56:22,16:59:22,60982,61162,180
H069,H069_P1,H069_P1_1,1,15:48:23,15:54:23,56903,57263,360
H069,H069_P1,H069_P1_2,2,15:54:54,15:56:53,57294,57413,119
H069,H069_P1,H069_P1_3,3,15:57:23,15:59:53,57443,57593,150
H069,H069_P1,H069_P1_4,4,16:02:53,16:03:23,57773,57803,30
H069,H069_P1,H069_P1_5,5,16:03:53,16:10:53,57833,58253,420
H069,H069_P1,H069_P1_6,6,16:11:23,16:19:23,58283,58763,480
H072,H072_P1,H072_P1_1,1,12:14:08,12:25:08,44048,44708,660
H072,H072_P1,H072_P1_2,2,12:25:38,12:26:08,44738,44768,30
H072,H072_P1,H072_P1_3,3,12:27:08,12:44:38,44828,45878,1050
H072,H072_P1,H072_P1_4,4,12:45:12,12:47:08,45912,46028,116
H078,H078_P1,H078_P1_1,1,15:13:12,15:21:42,54792,55302,510
H078,H078_P1,H078_P1_2,2,15:22:12,15:23:12,55332,55392,60
H078,H078_P1,H078_P1_3,3,15:23:43,15:35:12,55423,56112,689
H078,H078_P1,H078_P1_4,4,15:35:42,15:41:42,56142,56502,360
H078,H078_P1,H078_P1_5,5,15:42:12,15:43:12,56532,56592,60
H079,H079_P1,H079_P1_1,1,14:40:01,14:46:01,52801,53161,360
H079,H079_P1,H079_P1_2,2,14:46:31,15:10:01,53191,54601,1410
H085,H085_P1,H085_P1_1,1,09:54:43,10:24:43,35683,37483,1800
H088,H088_P1,H088_P1_1,1,13:46:13,13:49:13,49573,49753,180
H088,H088_P1,H088_P1_2,2,13:49:45,14:10:13,49785,51013,1228
H088,H088_P1,H088_P1_3,3,14:11:13,14:14:43,51073,51283,210
H088,H088_P1,H088_P1_4,4,14:15:43,14:20:13,51343,51613,270
H090,H090_P1,H090_P1_1,1,13:11:11,13:40:41,47471,49241,1770
H091,H091_P1,H091_P1_1,1,08:36:12,08:44:42,30972,31482,510
H091,H091_P1,H091_P1_2,2,08:45:42,08:57:12,31542,32232,690
