,,pass1,pass1,pass1,,pass2,pass2,pass2
,,2m smoothing,5m smoothing,10m smoothing,,2m smoothing,5m smoothing,10m smoothing
transect,transect segment,Length_m,Length_m,Length_m,,Length_m,Length_m,Length_m
Exp1,Exp1_P1_1,452.093,428.818,416.792,,452.093,428.818,416.792
Exp2,Exp2_P1_1,470.024,448.298,437.601,,462.674,445.610,436.828
Exp3,Exp3_P1_1,556.228,533.376,515.590,,552.768,532.815,515.673
Exp4,Exp4_P1_1,521.699,486.870,469.122,,518.016,485.368,468.825
Exp5,Exp5_P1_1,525.327,511.043,500.672,,524.253,510.825,500.568
H010,H010_P1_1,722.216,702.618,694.900,,720.178,701.354,694.277
H011,H011_P1_1,515.223,501.443,489.633,,514.990,501.357,489.554
H011,H011_P1_2,158.971,155.998,154.581,,158.944,155.983,154.578
H015,H015_P1_1,66.795,65.939,65.528,,66.795,65.939,65.528
H015,H015_P2_1,392.524,386.464,377.080,,392.484,386.446,377.075
H016,H016_P1_1,463.596,448.262,431.896,,463.596,448.262,431.896
H017,H017_P1_1,581.323,565.243,552.869,,580.075,564.717,552.421
H018,H018_P1_1,584.591,566.112,553.333,,582.808,565.971,553.268
H025,H025_P1_1,65.740,62.280,60.946,,65.740,62.280,60.946
H025,H025_P1_2,54.435,52.197,51.394,,54.435,52.197,51.394
H025,H025_P1_3,23.481,22.200,22.175,,23.481,22.200,22.175
H025,H025_P1_4,34.246,33.871,33.656,,34.210,33.847,33.638
H025,H025_P1_5,86.493,83.695,82.493,,85.929,83.626,82.539
H025,H025_P1_6,69.378,67.751,67.050,,69.343,67.728,67.043
H025,H025_P1_7,195.264,189.877,187.557,,194.476,189.807,187.585
H028,H028_P1_1,259.005,251.263,245.218,,255.128,249.751,244.909
H028,H028_P1_2,99.301,97.420,96.388,,99.301,97.420,96.388
H028,H028_P1_3,156.032,147.452,140.989,,155.932,147.310,140.896
H029,H029_P1_1,63.590,62.560,61.959,,63.590,62.560,61.959
H029,H029_P1_2,56.458,55.227,54.256,,56.458,55.227,54.256
H029,H029_P1_3,455.390,447.104,440.260,,455.390,447.104,440.260
H030,H030_P1_1,321.119,317.286,311.525,,321.119,317.286,311.525
H030,H030_P1_2,39.406,38.104,37.850,,39.406,38.104,37.850
H030,H030_P1_3,78.488,77.790,77.350,,78.488,77.790,77.350
H032,H032_P1_1,398.027,388.785,382.176,,398.027,388.785,382.176
H032,H032_P1_2,87.992,84.466,81.470,,86.263,83.230,80.794
H034,H034_P1_1,18.231,18.085,18.008,,18.230,18.085,18.006
H034,H034_P1_2,543.221,530.909,517.307,,531.756,523.931,515.002
H035,H035_P1_1,173.971,171.284,168.626,,173.971,171.284,168.626
H035,H035_P1_2,158.570,147.655,140.848,,158.543,147.696,140.857
H035,H035_P1_3,62.075,58.442,55.465,,62.075,58.442,55.465
H035,H035_P1_4,62.467,59.860,58.201,,62.467,59.860,58.201
H039,H039_P1_1,373.433,360.923,352.357,,373.346,360.936,352.367
H039,H039_P1_2,13.125,12.979,12.969,,13.125,12.979,12.969
H039,H039_P1_3,105.933,102.025,98.444,,104.874,101.107,97.470
H043,H043_P1_1,173.891,163.700,160.662,,173.656,163.661,160.640
H043,H043_P1_2,279.731,259.079,255.141,,271.923,258.015,254.942
H044,H044_P1_1,283.043,278.068,274.915,,283.028,278.070,274.906
H045,H045_P1_1,107.126,104.955,102.883,,107.129,104.955,102.884
H045,H045_P1_2,19.310,19.173,19.166,,19.310,19.173,19.166
H045,H045_P1_3,90.847,89.914,88.215,,90.847,89.914,88.215
H045,H045_P1_4,81.930,80.510,79.506,,81.930,80.510,79.506
H045,H045_P1_5,10.023,10.008,9.998,,10.023,10.008,9.998
H045,H045_P1_6,128.482,125.523,122.705,,128.482,125.523,122.705
H045,H045_P1_7,111.637,110.118,108.755,,111.637,110.118,108.755
H046,H046_P1_1,105.978,101.720,98.761,,105.978,101.720,98.761
H046,H046_P1_2,3.805,3.803,3.794,,3.805,3.803,3.794
H046,H046_P1_3,3.740,3.740,3.740,,3.740,3.740,3.740
H046,H046_P1_4,16.739,16.719,16.718,,16.739,16.719,16.718
H046,H046_P1_5,21.469,21.469,21.469,,21.469,21.469,21.469
H046,H046_P1_6,37.337,37.060,36.852,,37.337,37.060,36.852
