SurveyID,Segment_num,Video_time,GPS_time,PISCES_time,Species,Depth_m,Count,Segment_sum,MicroSub1,MicroSub2,Biocover1,Biocover2,Relief,Complexity,Hab_descrip,Species_Comments,SpeciesID,View Pass
Explore1,10,0:04:34,12:48:44,12:47:58,Yelloweye rockfish,52,1,FALSE,R,M,bare,bare,,3,,This is where I had to eat my shorts,5558,1
Explore1,17,0:08:07,12:52:17,12:51:31,Quillback rockfish,50,1,FALSE,R,M,bare,bare,,2,,,5559,1
Explore1,57,0:28:16,13:12:26,13:11:40,Quillback rockfish,50,1,FALSE,R,M,bare,bare,,3,,,5560,1
Explore2,18,0:09:16,13:34:34,13:33:49,Quillback rockfish,56,1,FALSE,R,M,bare,bare,,3,,,5561,1
Explore2,20,0:10:21,13:35:39,13:34:54,Quillback rockfish,55,1,FALSE,R,M,bare,bare,,3,,,5562,1
Explore2,25,0:12:53,13:38:11,13:37:26,Quillback rockfish,53,1,FALSE,R,M,bare,bare,,3,,,5563,1
Explore2,31,0:15:45,13:41:03,13:40:18,Quillback rockfish,48,1,FALSE,R,M,bare,bare,,2,,,5564,1
Explore2,36,0:18:25,13:43:43,13:42:58,Quillback rockfish,49,1,FALSE,R,M,bare,bare,,2,,pollock bites quillback?,5566,1
Explore2,36,0:18:29,13:43:47,13:43:02,Quillback rockfish,50,1,FALSE,R,M,bare,bare,,3,,,5568,1
Explore2,44,0:22:29,13:47:47,13:47:02,Rockfish uniden.,55,1,FALSE,R,M,bare,bare,,3,,possible QB,7168,3
Explore2,48,0:24:15,13:49:33,13:48:48,Quillback rockfish,54,1,FALSE,R,M,bare,bare,,3,,,5569,1
Explore3,29,0:14:57,14:46:04,14:45:19,Quillback rockfish,51,1,FALSE,R,M,bare,bare,,1,,,5570,1
Explore3,31,0:15:58,14:47:05,14:46:20,Quillback rockfish,48,1,FALSE,R,M,bare,bare,,2,,,5571,1
Explore3,41,0:20:31,14:51:38,14:50:53,Quillback rockfish,51,1,FALSE,R,M,bare,bare,,2,,,5572,1
Explore3,41,0:20:52,14:51:59,14:51:14,Quillback rockfish,52,1,FALSE,R,R,bare,bare,,3,,,5573,1
Explore3,42,0:21:00,14:52:07,14:51:22,Quillback rockfish,52,1,FALSE,R,M,bare,bare,,3,,,5575,1
Explore3,42,0:21:01,14:52:08,14:51:23,Quillback rockfish,52,1,FALSE,R,B,bare,bare,,4,,goes under boulder,5576,1
Explore4,9,0:04:09,15:15:38,15:14:52,Greenstriped rockfish,46,1,FALSE,M,M,bare,bare,,1,,,5577,1
Explore4,13,0:06:29,15:17:58,15:17:12,Quillback rockfish,44,1,FALSE,R,M,bare,bare,,1,,,5578,1
Explore4,14,0:06:59,15:18:28,15:17:42,Lingcod,44,1,FALSE,R,M,bare,bare,,2,,,5579,1
Explore4,15,0:07:06,15:18:35,15:17:49,Quillback rockfish,44,1,FALSE,B,M,bare,bare,,1,,,5580,1
Explore4,15,0:07:25,15:18:54,15:18:08,Quillback rockfish,44,1,FALSE,C,B,bare,bare,,2,,,5581,1
Explore4,16,0:07:58,15:19:27,15:18:41,Quillback rockfish,44,1,FALSE,P,B,bare,bare,,1,,,5582,1
Explore4,17,0:08:04,15:19:33,15:18:47,Quillback rockfish,44,1,FALSE,P,B,bare,bare,,2,,,5583,1
Explore4,17,0:08:18,15:19:47,15:19:01,Greenstriped rockfish,44,1,FALSE,R,M,bare,bare,,2,,,5584,1
Explore4,21,0:10:00,15:21:29,15:20:43,Lingcod,42,1,FALSE,P,P,bare,bare,,1,,,5585,1
Explore4,32,0:15:33,15:27:02,15:26:16,Quillback rockfish,39,2,FALSE,C,C,bare,encrusting organism complex,,1,Added during habitat review IDC,,5744,3
Explore4,34,0:16:56,15:28:25,15:27:39,Quillback rockfish,33,13,FALSE,R,R,bare,bare,,2,,,5586,1
Explore4,34,0:16:59,15:28:28,15:27:42,Quillback rockfish,33,3,FALSE,R,R,bare,bare,,1,,,5587,1
Explore4,36,0:17:56,15:29:25,15:28:39,Quillback rockfish,28,1,FALSE,R,R,bare,bare,,2,,,5588,1
Explore4,37,0:18:02,15:29:31,15:28:45,Quillback rockfish,27,1,FALSE,R,R,bare,bare,,2,,,5589,1
Explore4,37,0:18:05,15:29:34,15:28:48,Quillback rockfish,27,1,FALSE,R,R,bare,bare,,2,,,5590,1
Explore4,37,0:18:12,15:29:41,15:28:55,Quillback rockfish,26,7,FALSE,R,R,bare,bare,,2,,,5591,1
Explore4,37,0:18:17,15:29:46,15:29:00,Quillback rockfish,27,2,FALSE,R,B,bare,bare,,3,,,5592,1
Explore4,38,0:18:31,15:30:00,15:29:14,Quillback rockfish,28,6,FALSE,R,R,bare,bare,,2,,,5594,1
Explore4,38,0:18:36,15:30:05,15:29:19,Yelloweye rockfish,28,1,FALSE,R,R,bare,bare,,4,,,5595,1
Explore4,38,0:18:40,15:30:09,15:29:23,Quillback rockfish,28,1,FALSE,R,R,bare,bare,,4,,,5596,1
Explore4,38,0:18:43,15:30:12,15:29:26,Puget Sound rockfish,29,2,FALSE,R,R,bare,bare,,4,,,5597,1
Explore4,38,0:18:53,15:30:22,15:29:36,Quillback rockfish,29,1,FALSE,R,B,bare,bare,,4,,,5598,1
Explore4,39,0:19:00,15:30:29,15:29:43,Quillback rockfish,29,1,FALSE,R,R,bare,bare,,3,,,5600,1
Explore4,39,0:19:06,15:30:35,15:29:49,Quillback rockfish,30,1,FALSE,R,R,bare,bare,,3,,,5601,1
Explore4,39,0:19:11,15:30:40,15:29:54,Quillback rockfish,30,2,FALSE,B,B,bare,bare,,2,,,5602,1
Explore4,39,0:19:11,15:30:40,15:29:54,Lingcod,30,1,FALSE,B,B,bare,bare,,2,,ARH: checked,5603,1
Explore4,39,0:19:14,15:30:43,15:29:57,Quillback rockfish,30,2,FALSE,R,B,bare,bare,,2,,,5604,1
Explore4,39,0:19:29,15:30:58,15:30:12,Quillback rockfish,31,1,FALSE,R,B,bare,bare,,2,,,5605,1
