SurveyID,Segment_num,Laser_width,Screen_width,Off_bottom,MacroSub1,MacroSub2,Biocover 1,Biocover 2,Hab_descrip,Video_time,GPS_time,PISCES_time,Lat_deg,Lat_decmin,Long_deg,Long_decmin,Depth,Habitat_Comments
Explore1,1,3.0,36,0,M,M,bare,bare,2,0:00:00,12:44:10,12:43:24,,,,,51,
Explore1,2,1.5,36,0,M,R,bare,bare,2,0:00:30,12:44:40,12:43:54,,,,,52,
Explore1,3,1.8,36,0,R,M,bare,bare,3,0:01:00,12:45:10,12:44:24,,,,,53,
Explore1,4,1.9,36,0,R,M,bare,bare,3,0:01:30,12:45:40,12:44:54,,,,,53,
Explore1,5,2.0,36,0,R,M,bare,bare,3,0:02:00,12:46:10,12:45:24,,,,,53,
Explore1,6,2.3,36,0,M,M,bare,bare,2,0:02:30,12:46:40,12:45:54,,,,,52,
Explore1,7,3.3,36,0,M,M,bare,bare,2,0:03:00,12:47:10,12:46:24,,,,,53,
Explore1,8,2.3,36,0,R,M,bare,bare,3,0:03:30,12:47:40,12:46:54,,,,,53,
Explore1,9,3.0,36,0,R,M,bare,bare,3,0:04:00,12:48:10,12:47:24,,,,,52,
Explore1,10,2.9,36,0,R,M,bare,bare,4,0:04:30,12:48:40,12:47:54,,,,,52,
Explore1,11,2.1,36,0,R,M,bare,bare,3,0:05:01,12:49:11,12:48:25,,,,,52,
Explore1,12,2.4,36,0,M,M,bare,bare,2,0:05:30,12:49:40,12:48:54,,,,,51,
Explore1,13,3.3,36,0,M,M,bare,bare,2,0:06:00,12:50:10,12:49:24,,,,,52,
Explore1,14,3.1,36,0,M,M,bare,bare,2,0:06:30,12:50:40,12:49:54,,,,,52,
Explore1,15,2.9,36,0,M,M,bare,bare,2,0:07:00,12:51:10,12:50:24,,,,,52,
Explore1,16,3.0,36,0,M,R,bare,bare,3,0:07:30,12:51:40,12:50:54,,,,,51,
Explore1,17,2.6,36,0,R,M,bare,bare,3,0:08:00,12:52:10,12:51:24,,,,,49,
Explore1,18,2.7,36,0,R,M,bare,bare,4,0:08:30,12:52:40,12:51:54,,,,,51,
Explore1,19,3.7,36,0,R,M,bare,bare,4,0:09:00,12:53:10,12:52:24,,,,,51,
Explore1,20,2.5,36,0,R,M,bare,bare,4,0:09:30,12:53:40,12:52:54,,,,,51,
Explore1,21,5.1,36,0,R,M,bare,bare,4,0:10:00,12:54:10,12:53:24,,,,,52,
