OBJECTID,Join_Count,TARGET_FID,Parent_ID,Survey_Dat,Station_ID,Other_Stat,Pilot,Other_Pilo,Co_pilot,Other_Co_p,Video_Star,Start_Lati,Start_Long,Multipart,Video_2_St,GoPro_Vide,Click_to_c,Stereo_Cam,Transect_A,Why_Transe,Station_Dr,Why_Statio,Notes,RCA,ID,NAME,YR_CREATED,HECTARES,SQ_KM
2,0,1,S02,10/23/2018 0:00,H114_CA-V, ,Bob Pacunski, ,Dayv Lowry, ,13:55:00,0,0,NO, ,NO,0,YES,NO, ,NO, , ,OUT,470,"Brethour,Domville,Forrest,Gooch Islands",2006,1879.707114,18.79707114
3,1,2,S02,10/23/2018 0:00,H011_CA-V, ,Dayv Lowry, ,Bob Pacunski, ,15:15:00,48.667852,-123.304732,NO, ,NO,0,YES,YES,Current.,NO, , ,IN,470,"Brethour,Domville,Forrest,Gooch Islands",2006,1879.707114,18.79707114
4,1,3,S02,10/23/2018 0:00,H011_CA-V, ,Dayv Lowry, ,Bob Pacunski, ,15:20:00,48.668353,-123.304502,NO, ,NO,0,YES,YES,Caught float on rock and tore open umbilical.,NO, , ,IN,470,"Brethour,Domville,Forrest,Gooch Islands",2006,1879.707114,18.79707114
5,1,4,S05,10/24/2018 0:00,H092_CA-V, ,Bob Pacunski, ,Dayv Lowry, ,12:36:00,48.464745,-123.215865,NO, ,NO,0,YES,NO, ,NO, ,Hung up after 10 mins. Got free and continued. Added 8 mins,OUT,488,D'Arcy Island to Beaumont Shoal,2006,5392.444405,53.92444405
6,1,5,S05,10/24/2018 0:00,H022_CA-V, ,Dayv Lowry, ,Bob Pacunski, ,13:49:00,48.473485,-123.186853,NO, ,NO,0,NO,NO, ,NO, ,Maybe stereo images.,IN,488,D'Arcy Island to Beaumont Shoal,2006,5392.444405,53.92444405
7,1,6,S05,10/24/2018 0:00,H025_CA-V, ,Dayv Lowry, ,Bob Pacunski, ,14:32:00,48.475123,-123.19358,NO, ,NO,0,YES,NO, ,NO, ,Stayed in water after h022.,IN,488,D'Arcy Island to Beaumont Shoal,2006,5392.444405,53.92444405
8,1,7,S05,10/24/2018 0:00,H121_CA-V, ,Andrea Hennings, ,Bob Pacunski, ,16:42:00,48.529457,-123.271418,NO, ,NO,0,YES,NO, ,NO, , ,OUT,488,D'Arcy Island to Beaumont Shoal,2006,5392.444405,53.92444405
9,1,8,S05,10/24/2018 0:00,H021_CA-V, ,Bob Pacunski, ,Andrea Hennings, ,18:29:00,48.538702,-123.234508,NO, ,NO,0,NO,YES,Could not hold position with vessel.,NO, ,May have started just outside the polygon,IN,488,D'Arcy Island to Beaumont Shoal,2006,5392.444405,53.92444405
10,1,9,S08,10/25/2018 0:00,H163_CA-V, ,Bob Pacunski, ,Dayv Lowry, ,8:45:00,48.77654,-123.215365,NO, ,NO,0,YES,NO, ,NO, ,May not have stereocamera images.,OUT,468,South Saturna,2006,3091.601971,30.91601971
11,1,10,S08,10/25/2018 0:00,H084_CA-V, ,Dayv Lowry, ,Andrea Hennings, ,11:28:00,48.777335,-123.080608,NO, ,NO,0,YES,YES,Too much current.,NO, , ,OUT,468,South Saturna,2006,3091.601971,30.91601971
12,1,11,S08,10/25/2018 0:00,H104_CA-V, ,Dayv Lowry, ,Andrea Hennings, ,11:32:00,48.777243,-123.079328,NO, ,NO,0,YES,YES,Vessel too quick and couldn’t stay together.,NO, ,ROV had hard time staying on bottom. Abort,OUT,468,South Saturna,2006,3091.601971,30.91601971
13,1,12,S08,10/25/2018 0:00,H062_CA-V, ,Dayv Lowry, ,Andrea Hennings, ,13:49:00,48.870523,-123.258413,NO, ,YES,0,YES,NO, ,NO, , ,IN,93,Mayne Island North,2004,706.3680039,7.06368004
14,1,13,S08,10/25/2018 0:00,H109_CA-V, ,Andrea Hennings, ,Bob Pacunski, ,15:14:00,48.868105,-123.251615,NO, ,NO,0,YES,NO, ,NO, , ,OUT,93,Mayne Island North,2004,706.3680039,7.06368004
15,1,14,S08,10/25/2018 0:00,H107_CA-V, ,Bob Pacunski, ,Dayv Lowry, ,16:14:00,48.858327,-123.240652,NO, ,NO,0,YES,NO, ,NO, ,No Hypack file. Will need to recreate transect from ArcGis. Bob recorded start and end coordinates.,OUT,93,Mayne Island North,2004,706.3680039,7.06368004
16,1,15,S08,10/25/2018 0:00,H063_CA-V, ,Dayv Lowry, ,Andrea Hennings, ,17:37:00,48.861378,-123.243919,NO, ,YES,0,YES,NO, ,NO, , ,OUT,93,Mayne Island North,2004,706.3680039,7.06368004
17,1,16,S11,10/26/2018 0:00,H043_CA-V, ,Andrea Hennings, ,Bob Pacunski, ,7:50:00,48.946092,-123.436273,NO, ,YES,0,YES,NO, ,NO, ,Only 23 mins - small polygon.,IN,5,Galiano Island North,2004,976.0127499,9.7601275
18,1,17,S11,10/26/2018 0:00,H044_CA-V, ,Bob Pacunski, ,Dayv Lowry, ,8:53:00,48.96365,-123.49837,NO, ,YES,0,YES,NO, ,NO, ,Only 20 mins.,IN,5,Galiano Island North,2004,976.0127499,9.7601275
19,0,18,S11,10/26/2018 0:00,H133_CA-V, ,Dayv Lowry, ,Andrea Hennings, ,9:55:00,48.97941,-123.517982,NO, ,YES,0,YES,NO, ,NO, ,Stereo did not flash on deployment and came up flashing just green. PISCES reads H044. NOTE: MOVED H090 OFFSHORE IN ARC AND DID NOT RECALCULATE GEOMETRY.,OUT,5,Galiano Island North,2004,976.0127499,9.7601275
